iter	Passed	Remaining
160	315	1641
161	316	1634
162	317	1628
163	318	1622
164	319	1616
165	320	1609
166	321	1603
167	322	1596
168	323	1590
169	324	1583
170	325	1577
171	326	1571
172	327	1565
173	328	1559
174	329	1553
175	330	1547
176	331	1541
177	332	1535
178	333	1529
179	334	1523
180	334	1515
181	335	1510
182	336	1504
183	337	1498
184	338	1493
185	339	1487
186	340	1482
187	341	1477
188	342	1471
189	343	1466
190	344	1461
191	346	1456
192	347	1451
193	348	1446
194	349	1441
195	350	1436
196	351	1431
197	352	1426
198	353	1421
199	354	1416
200	355	1411
201	356	1406
202	357	1402
203	358	1397
204	359	1393
205	360	1389
206	361	1384
207	362	1380
208	363	1376
209	364	1371
210	365	1367
211	366	1362
212	367	1358
213	368	1353
214	369	1349
215	370	1345
216	371	1341
217	372	1337
218	374	1333
219	375	1329
220	376	1325
221	377	1321
222	378	1317
223	379	1313
224	380	1309
225	381	1304
226	382	1300
227	383	1296
228	383	1292
229	384	1288
230	385	1284
231	386	1281
232	388	1277
233	389	1273
234	390	1269
235	391	1265
236	392	1262
237	392	1258
238	394	1254
239	395	1250
240	395	1247
241	396	1243
242	397	1239
243	398	1236
244	399	1232
245	400	1229
246	402	1225
247	403	1222
248	404	1219
249	405	1215
250	406	1212
251	407	1208
252	408	1205
253	409	1202
254	410	1199
255	411	1195
256	412	1192
257	413	1189
258	414	1186
259	415	1182
260	416	1179
261	417	1176
262	418	1173
263	419	1169
264	420	1166
265	421	1163
266	422	1160
267	423	1157
268	424	1153
269	425	1150
270	426	1147
271	427	1144
272	428	1141
273	429	1137
274	430	1135
275	431	1132
276	432	1130
277	433	1127
278	435	1124
279	436	1121
280	437	1119
281	438	1116
282	439	1113
283	440	1110
284	441	1107
285	442	1104
286	443	1101
287	444	1098
288	445	1096
289	446	1093
290	447	1090
291	448	1087
292	449	1084
293	450	1082
294	451	1079
295	452	1076
296	453	1073
297	454	1071
298	455	1068
299	456	1065
300	457	1062
301	458	1060
302	459	1057
303	460	1055
304	461	1052
305	462	1049
306	463	1047
307	464	1044
308	465	1041
309	466	1039
310	467	1036
311	468	1033
312	469	1031
313	470	1028
314	471	1025
315	472	1023
316	473	1020
317	474	1018
318	475	1015
319	476	1013
320	477	1010
321	478	1008
322	479	1005
323	480	1003
324	481	1000
325	482	998
326	483	995
327	484	993
328	485	991
329	487	988
330	488	986
331	489	984
332	490	981
333	491	979
334	492	977
335	493	974
336	494	972
337	495	970
338	496	967
339	497	965
340	498	963
341	499	960
342	500	958
343	501	956
344	502	954
345	503	951
346	504	949
347	505	947
348	506	945
349	507	942
350	508	940
351	509	938
352	510	936
353	511	933
354	512	931
355	513	929
356	514	927
357	516	925
358	517	923
359	518	921
360	519	919
361	520	916
362	521	914
363	522	912
364	523	910
365	524	908
366	525	906
367	526	903
368	527	901
369	528	899
370	529	897
371	530	895
372	531	893
373	532	891
374	533	889
375	534	887
376	535	885
377	536	883
378	538	881
379	539	879
380	540	877
381	541	875
382	542	873
383	543	871
384	544	870
385	545	868
386	546	866
387	547	864
388	549	862
389	550	860
390	551	858
391	552	856
392	553	854
393	554	852
394	555	850
395	556	848
396	557	846
397	558	844
398	559	842
399	560	840
400	561	838
401	562	836
402	563	835
403	565	833
404	566	831
405	567	830
406	568	828
407	569	826
408	570	824
409	571	822
410	572	820
411	573	818
412	574	816
413	575	814
414	576	812
415	577	811
416	578	809
417	579	807
418	580	805
419	581	803
420	582	801
421	583	799
422	584	797
423	585	796
424	586	794
425	587	792
426	589	790
427	590	788
428	591	786
429	592	784
430	593	783
431	594	781
432	595	779
433	596	777
434	597	775
435	598	773
436	599	771
437	600	770
438	601	768
439	602	766
440	603	765
441	604	763
442	605	761
443	606	760
444	607	758
445	608	756
446	610	754
447	611	752
448	612	751
449	613	749
450	614	747
451	615	745
452	616	744
453	617	742
454	618	740
455	619	738
456	620	737
457	621	735
458	622	733
459	623	732
460	624	730
461	625	728
462	626	726
463	627	725
464	628	723
465	629	721
466	630	719
467	631	718
468	632	716
469	633	714
470	634	712
471	635	711
472	636	709
473	637	707
474	638	706
475	639	704
476	640	702
